Sl No.,Name,Notes,Quantity,Price Per Unit,Cost,Total,Link
1,Orpheus Pico Microcontroller,Hack Club provided,1,0.00,0.00,,https://hackclub.com/
2,Lord of the Mysteries Cat Klein Concept Keycaps,140+ Pcs Officially Licensed,1,69.90,69.90,,https://www.oriloot.com/products/lotm-cat-klein-concept-keycaps-140-pcs?srsltid=AfmBOoooVHazBJsr54QGDoYuaWPIWhhQHevAvj5ISAPAV7QOYdrYkIcs
3,GATERON MILKY YELLOW - Mechanical Switch,Linear switches (5-pin) for 73 keys,90,0.25,22.57,,https://www.tokopedia.com/kadesh/gateron-milky-yellow-red-g-pro-lubed-mechanical-switch-yellow-lubed?extParam=ivf%3Dfalse%26keyword%3Dgateron+milky+yellow+pro%26search_id%3D2026071814471500EC53C4682D362D7K0U%26src%3Dsearch
4,1N4148 Through-hole Diodes (10 pcs/batch),Bought in batches of 10 pcs/1,10,0.059,0.59,,https://shopee.co.id/10pcs-Dioda-diode-1N4448-persamaan-1N4148-IN4148-DO-35-High-speed-switching-i.290887364.22702082048?extraParams=%7B%22display_model_id%22%3A182895136996%2C%22model_selection_logic%22%3A3%7D
5,EC11 Rotary Encoder,With push button,1,0.53,0.53,,https://shopee.co.id/EC11-EC-11-Rotary-Encoder-Digital-Potentiometer-5-pin-Sensor-5V-i.138926279.25109704194?xptdk=c75213a2-eed0-4ba7-a61f-72d2288f32c0
6,0.91 inch I2C OLED display,Pin order: GND-VCC-SCL-SDA,1,2.06,2.06,,https://shopee.co.id/0.91-inch-128x32-px-pixels-I2C-IIC-OLED-LCD-Screen-Display-3.3-5Vdc-i.138926279.24014122715?extraParams=%7B%22display_model_id%22%3A236060190539%2C%22model_selection_logic%22%3A2%7D
7,Stabilizer (6.25u),"6.25u Stabilizer ",1,1.39,1.39,,https://www.tokopedia.com/mechkeyboardsid/genuine-cherry-plate-mount-keyboard-stabilizer-6-25u?t_id=1784386340639&t_st=3&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart
8,Stabilizer (2u),"2u Stabilizer ",3,1.39,4.17,,https://www.tokopedia.com/mechkeyboardsid/genuine-cherry-plate-mount-keyboard-stabilizer-6-25u?t_id=1784386340639&t_st=3&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart
9,M3x10mm Screws,,20,0.024,0.48,,https://shopee.co.id/Baut-Verseng-L-M3X10-Baut-JFL-3X10-Countersunk-L-M3-X-10-3-X-10-Socket-Countersunk-Screw-Stainless-SS304-SUS304-A2-70-i.11837378.27576682475?extraParams=%7B%22display_model_id%22%3A99109668350%2C%22model_selection_logic%22%3A3%7D
10,M3x8mm Screws,,20,0.022,0.44,,https://shopee.co.id/DIN-912-1983-Baut-L-Stainless-M3X8-3X8-M3-X-8-3-X-8-Full-Drat-SS304-SUS304-A2-70-Hex-Socket-Head-Cap-Screw-i.11837378.25091564391?extraParams=%7B%22display_model_id%22%3A252665513667%2C%22model_selection_logic%22%3A3%7D
11,M3x10mmx4mm Heatset Inserts,,20,0.070,1.40,,https://shopee.co.id/M2-M2.5-M3-M4-M5-M6-M8-Brass-Copper-Thread-Twisted-Knurled-Insert-Nut-Mur-Tanam-Injection-Molding-3d-printing-2mm-3mm-4mm-5mm-6mm-8mm-i.1174038812.24311569858?xptdk=f4c84ce3-7aae-4a01-bd34-411ee018e6ed
12,M3x3mmx4mm Heatset Inserts,,20,0.057,1.14,,https://shopee.co.id/M2-M2.5-M3-M4-M5-M6-M8-Brass-Copper-Thread-Twisted-Knurled-Insert-Nut-Mur-Tanam-Injection-Molding-3d-printing-2mm-3mm-4mm-5mm-6mm-8mm-i.1174038812.24311569858?xptdk=f4c84ce3-7aae-4a01-bd34-411ee018e6ed
13,Rotary Encoder Knob,,1,0.42,0.42,,https://shopee.co.id/Knob-Potensiometer-Baut-MF-A05-A-05-Rotary-Encoder-Switch-Potensio-Potentio-Meter-Knop-Adjust-Putar-i.342972164.24939610328?xptdk=66471b29-f739-436f-9f78-bad2312f1517
14,Custom KiCad PCB (JLCPCB) (Comes in batches of 5 pcs),FR4 / HASL Lead-Free (Comes in batches of 5 pcs) (Delivery Price included),5,38.79,38.79,,https://jlcpcb.com/
15,Custom 3D Printed Case & Plate,JLCPCB 9600 Resin (tub) & Imagine black (top) (Delivery Price included),1,50.49,50.49,,https://jlcpcb.com/3d-printing
,,,,,,190.47,
